Local SKU Code,Myntra SKU ID,SKU ID
BP8022RUST_SKD-4XL,BNWMKASS81386840,81386840
BP8022RUST_SKD-5XL,BNWMKASS81386848,81386848
BP8032GRN_COD-3XL,BNWMCOORD81356976,81356976
BP8032GRN_COD-4XL,BNWMCOORD81356986,81356986
BP8032GRN_COD-5XL,BNWMCOORD81356996,81356996
BP8032GRN_COD-6XL,BNWMCOORD81357002,81357002
BP8032Mauve_COD-3XL,BNWMCOORD81356924,81356924
BP8032Mauve_COD-4XL,BNWMCOORD81356932,81356932
BP8032Mauve_COD-5XL,BNWMCOORD81356940,81356940
BP8032Mauve_COD-6XL,BNWMCOORD81356950,81356950
BP8034_BRN_COD-3XL,BNWMCOORD98984423,98984423
BP8034_BRN_COD-4XL,BNWMCOORD98984424,98984424
BP8034_BRN_COD-5XL,BNWMCOORD98984425,98984425
BP8034_BRN_COD-6XL,BNWMCOORD98984426,98984426
BP8034GREY_COD-3XL,BNWMCOORD81356920,81356920
BP8034GREY_COD-4XL,BNWMCOORD81356934,81356934
BP8034GREY_COD-5XL,BNWMCOORD81356944,81356944
BP8034GREY_COD-6XL,BNWMCOORD81356952,81356952
BP8034PINK_COD-3XL,BNWMCOORD81356926,81356926
BP8034PINK_COD-4XL,BNWMCOORD81356936,81356936
BP8034PINK_COD-5XL,BNWMCOORD81356946,81356946
BP8034PINK_COD-6XL,BNWMCOORD81356956,81356956
BP8038MULTI_COD-3XL,BNWMCOORD81356922,81356922
BP8038MULTI_COD-5XL,BNWMCOORD81356938,81356938
BP8038MULTI_COD-6XL,BNWMCOORD81356948,81356948
BP8039MRN_SKD-3XL,BNWMKASS81386934,81386934
BP8039MRN_SKD-4XL,BNWMKASS81386938,81386938
BP8039MRN_SKD-5XL,BNWMKASS81386942,81386942
BP8039MRN_SKD-6XL,BNWMKASS81386946,81386946
BP8039TEAL_SKD-3XL,BNWMKASS81386880,81386880
BP8039TEAL_SKD-4XL,BNWMKASS81386882,81386882
BP8039TEAL_SKD-5XL,BNWMKASS81386884,81386884
BP8039TEAL_SKD-6XL,BNWMKASS81386886,81386886
BP8043GRN_SKD-3XL,BNWMKASS81386830,81386830
BP8043GRN_SKD-4XL,BNWMKASS81386842,81386842
BP8044Beige_COD-3XL,BNWMCOORD81356974,81356974
BP8046Blue_COD-3XL,BNWMCOORD81357022,81357022
BP8046Blue_COD-6XL,BNWMCOORD81357034,81357034
BP8048GREY_COD-3XL,BNWMCOORD83984474,83984474
BP8048GREY_COD-4XL,BNWMCOORD83984478,83984478
BP8048GREY_COD-5XL,BNWMCOORD83984480,83984480
BP8048GREY_COD-6XL,BNWMCOORD83984482,83984482
BP8048PINK_COD-3XL,BNWMCOORD81357124,81357124
BP8048PINK_COD-4XL,BNWMCOORD81357126,81357126
BP8048PINK_COD-5XL,BNWMCOORD81357128,81357128
BP8048PINK_COD-6XL,BNWMCOORD81357130,81357130
BP8049GRN_SKD-3XL,BNWMKASS81386826,81386826
BP8049GRN_SKD-5XL,BNWMKASS81386844,81386844
BP8049GRN_SKD-6XL,BNWMKASS81386856,81386856
BP8050PPL_SKD-3XL,BNWMKASS81386890,81386890
BP8050PPL_SKD-4XL,BNWMKASS81386898,81386898
BP8050Red_SKD-4XL,BNWMKASS81386972,81386972
BP8051MRN_COD-3XL,BNWMCOORD81357048,81357048
BP8051MRN_COD-4XL,BNWMCOORD81357050,81357050
BP8051MRN_COD-5XL,BNWMCOORD81357052,81357052
BP8051MRN_COD-6XL,BNWMCOORD81357054,81357054
BP8052COORD_GREEN-3XL,BNWMCOORD98322249,98322249
BP8052Red_COD-3XL,BNWMCOORD81357056,81357056
BP8052Red_COD-4XL,BNWMCOORD81357058,81357058
BP8052Red_COD-5XL,BNWMCOORD81357060,81357060
BP8052Red_COD-6XL,BNWMCOORD81357062,81357062
BP8052TEAL_COD-3XL,BNWMCOORD81357220,81357220
BP8056BRN_COD-5XL,BNWMCOORD81357172,81357172
BP9002_Coord_Green-3XL,BNWMCOORD95185910,95185910
BP9002_Coord_Green-4XL,BNWMCOORD95185912,95185912
BP9002_Coord_Green-5XL,BNWMCOORD95185914,95185914
BP9002_Coord_Green-6XL,BNWMCOORD95185916,95185916
BP9002_Coord_Magenta-4XL,BNWMCOORD95185932,95185932
BP9002_Coord_Magenta-5XL,BNWMCOORD95185934,95185934
BP9002_Coord_Magenta-6XL,BNWMCOORD95185938,95185938
BP9003_Coord_Navy-3XL,BNWMCOORD95185894,95185894
BP9003_Coord_Navy-4XL,BNWMCOORD95185898,95185898
BP9003_Coord_Navy-5XL,BNWMCOORD95185900,95185900
BP9003_Coord_Navy-6XL,BNWMCOORD95185904,95185904
BP9003_Coord_Red-3XL,BNWMCOORD95185948,95185948
BP9003_Coord_Red-4XL,BNWMCOORD95185950,95185950
BP9003_Coord_Red-5XL,BNWMCOORD95185952,95185952
BP9003_Coord_Red-6XL,BNWMCOORD95185954,95185954
