Local_SKU,Myntra_SKU,SKU_ID,Category,Nykaa_SKU
BP7084PINK_COD-3XL,BNWMCOORD77680314,77680314,Co-Ords,BANIW00003327
BP7088MRN_COD-3XL,BNWMCOORD81357132,81357132,Co-Ords,BANIW00004383
BP7088MRN_COD-4XL,BNWMCOORD81357136,81357136,Co-Ords,BANIW00004384
BP7088NAVE_COD-3XL,BNWMCOORD81357142,81357142,Co-Ords,BANIW00004387
BP7088NAVE_COD-5XL,BNWMCOORD81357146,81357146,Co-Ords,BANIW00004389
BP7089GRN_COD-3XL,BNWMCOORD77680290,77680290,Co-Ords,BANIW00003331
BP7089GRN_COD-4XL,BNWMCOORD77680292,77680292,Co-Ords,BANIW00003332
BP7089PINK_COD-3XL,BNWMCOORD80985210,80985210,Co-Ords,BANIW00005304
BP8022GREY_SKD-3XL,BNWMKASS81386998,81386998,Kurta Sets,BANIW00004505
BP8022GREY_SKD-4XL,BNWMKASS81387002,81387002,Kurta Sets,BANIW00004506
BP8022GREY_SKD-5XL,BNWMKASS81387006,81387006,Kurta Sets,BANIW00004507
BP8022RUST_SKD-3XL,BNWMKASS81386828,81386828,Kurta Sets,BANIW00004509
BP8022RUST_SKD-4XL,BNWMKASS81386840,81386840,Kurta Sets,BANIW00004510
BP8022RUST_SKD-5XL,BNWMKASS81386848,81386848,Kurta Sets,BANIW00004511
BP8032GRN_COD-3XL,BNWMCOORD81356976,81356976,Co-Ords,BANIW00004391
BP8032GRN_COD-4XL,BNWMCOORD81356986,81356986,Co-Ords,BANIW00004392
BP8032GRN_COD-5XL,BNWMCOORD81356996,81356996,Co-Ords,BANIW00004393
BP8032GRN_COD-6XL,BNWMCOORD81357002,81357002,Co-Ords,BANIW00004394
BP8032Mauve_COD-3XL,BNWMCOORD81356924,81356924,Co-Ords,BANIW00004395
BP8032Mauve_COD-4XL,BNWMCOORD81356932,81356932,Co-Ords,BANIW00004396
BP8032Mauve_COD-5XL,BNWMCOORD81356940,81356940,Co-Ords,BANIW00004397
BP8032Mauve_COD-6XL,BNWMCOORD81356950,81356950,Co-Ords,BANIW00004398
BP8034_BRN_COD-3XL,BNWMCOORD98984423,98984423,Co-Ords,BANIW00005606
BP8034_BRN_COD-4XL,BNWMCOORD98984424,98984424,Co-Ords,BANIW00005607
BP8034_BRN_COD-5XL,BNWMCOORD98984425,98984425,Co-Ords,BANIW00005608
BP8034_BRN_COD-6XL,BNWMCOORD98984426,98984426,Co-Ords,BANIW00005609
BP8034GREY_COD-3XL,BNWMCOORD81356920,81356920,Co-Ords,BANIW00004399
BP8034GREY_COD-4XL,BNWMCOORD81356934,81356934,Co-Ords,BANIW00004400
BP8034GREY_COD-5XL,BNWMCOORD81356944,81356944,Co-Ords,BANIW00004401
BP8034GREY_COD-6XL,BNWMCOORD81356952,81356952,Co-Ords,BANIW00004402
BP8034PINK_COD-3XL,BNWMCOORD81356926,81356926,Co-Ords,BANIW00004403
BP8034PINK_COD-4XL,BNWMCOORD81356936,81356936,Co-Ords,BANIW00004404
BP8034PINK_COD-5XL,BNWMCOORD81356946,81356946,Co-Ords,BANIW00004405
BP8034PINK_COD-6XL,BNWMCOORD81356956,81356956,Co-Ords,BANIW00004406
BP8038MULTI_COD-3XL,BNWMCOORD81356922,81356922,Co-Ords,BANIW00005359
BP8038MULTI_COD-5XL,BNWMCOORD81356938,81356938,Co-Ords,BANIW00005361
BP8038MULTI_COD-6XL,BNWMCOORD81356948,81356948,Co-Ords,BANIW00005362
BP8039MRN_SKD-3XL,BNWMKASS81386934,81386934,Kurta Sets,BANIW00004513
BP8039MRN_SKD-4XL,BNWMKASS81386938,81386938,Kurta Sets,BANIW00004514
BP8039MRN_SKD-5XL,BNWMKASS81386942,81386942,Kurta Sets,BANIW00004515
BP8039MRN_SKD-6XL,BNWMKASS81386946,81386946,Kurta Sets,BANIW00004516
BP8039TEAL_SKD-3XL,BNWMKASS81386880,81386880,Kurta Sets,BANIW00004517
BP8039TEAL_SKD-4XL,BNWMKASS81386882,81386882,Kurta Sets,BANIW00004518
BP8039TEAL_SKD-5XL,BNWMKASS81386884,81386884,Kurta Sets,BANIW00004519
BP8039TEAL_SKD-6XL,BNWMKASS81386886,81386886,Kurta Sets,BANIW00004520
